nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
gombaland,0,0,8,137,0,0,0,0,0,0,0,0,160
good,0,0,0,0,0,0,63,7292,0,0,0,0,0
gorthias,0,0,0,0,0,0,81,12890,0,0,0,0,0
great_hautbois,0,0,0,0,0,0,80,18783,0,0,0,0,0
great_lakes_municipalities,0,0,0,0,0,0,21,1862,0,0,0,0,0
greater_london_city,0,0,0,0,0,0,0,0,1,30,0,0,0
greater_somoiland,0,0,1,177,0,0,0,0,0,0,0,0,20
green_arbres,0,0,0,0,0,0,22,1334,0,0,0,0,0
greenbush,129,7316,0,0,0,0,59,8142,0,0,0,0,2580
gres_undoltion,0,0,0,0,0,0,28,587,0,0,0,0,0
greyveldt,0,0,0,0,0,0,45,5075,0,0,0,0,0
grimmjow_j,0,0,0,0,0,0,23,2710,0,0,0,0,0
groenwald,0,0,0,0,0,0,45,2341,0,0,0,0,0
guardalocin,0,0,0,0,0,0,39,1246,0,0,0,0,0
hailford,0,0,0,0,0,0,26,556,0,0,0,0,0
hardins,0,0,0,0,0,0,19,1275,0,0,0,0,0
havionia,0,0,0,0,0,0,12,241,0,0,0,0,0
head_vicuna,0,0,0,0,0,0,82,4935,0,0,0,0,0
heidgaudr,739,58273,0,0,0,0,94,1064,0,0,0,0,14780
heliocentrism,0,0,0,0,0,0,0,0,1,815,0,0,0
hendrick,0,0,0,0,0,0,5,3512,0,0,0,0,0
hilda,0,0,0,0,0,0,11,318,0,0,0,0,0
hongg_kong,0,0,3,8,0,0,0,0,0,0,0,0,60
horodok,0,0,0,0,0,0,31,4706,0,0,0,0,0
hurdergaryp,46,1112,0,0,0,0,121,21854,0,0,0,0,920
hyon_delta,0,0,0,0,0,0,40,2452,0,0,0,0,0
hyrule_and_lorule,0,0,0,0,0,0,139,24512,0,0,0,0,0
iberq,0,0,0,0,0,0,15,130,0,0,0,0,0
icaris,0,0,0,0,0,0,0,0,1,918,0,0,0
ikania,0,0,0,0,0,0,0,0,2,3903,0,0,0
ilulissat,0,0,0,0,0,0,15,288,0,0,0,0,0
imperial_states_of_duotona,0,0,0,0,0,0,15,442,0,0,0,0,0
in_the_stars,0,0,0,0,0,0,66,1998,0,0,0,0,0
insigria,0,0,0,0,0,0,82,9636,0,0,0,0,0
intellectual_federation,0,0,0,0,0,0,17,1192,0,0,0,0,0
intri_expolle,0,0,0,0,0,0,1,20,0,0,0,0,0
ipe,0,0,0,0,0,0,20,652,0,0,0,0,0
ironic_remarks,970,467574,0,0,0,0,259,37946,0,0,0,0,19400
isbjorn_maerenne_bava_paerani,0,0,0,0,0,0,57,11772,0,0,0,0,0
isle_willte,0,0,0,0,0,0,32,3881,0,0,0,0,0
ispanza,153,15664,0,0,0,0,148,18656,0,0,0,0,3060
ithersta,0,0,0,0,0,0,20,1025,0,0,0,0,0
jamilkhuze,0,0,0,0,0,0,173,48400,0,0,0,0,0
jane_the_killer,0,0,0,0,0,0,0,0,1,877,0,0,0
jem_finch,0,0,0,0,0,0,0,0,2,1350,0,0,0
jrfkin_jr,0,0,0,0,0,0,21,552,0,0,0,0,0
jurioo-zalgiris,2153,275505,0,0,0,0,342,55969,3,38,0,0,43060
jutsa,52,7276,0,0,1,61,278,32643,0,0,0,0,1060
jutsilonia,0,0,0,0,0,0,117,2567,0,0,0,0,0
kader,0,0,0,0,0,0,39,5898,0,0,0,0,0
kandarin,0,0,0,0,0,0,3,517,0,0,0,0,0
kannap,0,0,0,0,0,0,139,44107,1,526,0,0,0
kase,245,16210,0,0,0,0,362,9310,0,0,1,7,4900
kawastyselir,0,0,0,0,0,0,118,22180,0,0,0,0,0
ken_starr,0,0,0,0,0,0,0,0,1,545,0,0,0
kingdom_of_the_noobs,0,0,0,0,0,0,15,1050,0,0,0,0,0
kingsman_tailors,0,0,0,0,0,0,22,1398,0,0,0,0,0
kniznorldocke,0,0,0,0,0,0,15,296,0,0,0,0,0
kraljestvo,0,0,0,0,0,0,54,309,0,0,0,0,0
krankheit,0,0,0,0,0,0,45,9204,0,0,0,0,0
krusavich,0,0,0,0,0,0,33,6503,0,0,0,0,0
kulikana,20,63,0,0,0,0,39,53,0,0,0,0,400
kuraiva,58,284,1,22,3,18,124,378,2,2,0,0,1240
kyland,0,0,0,0,0,0,20,184,0,0,0,0,0
kyratistani,0,0,0,0,0,0,61,8286,0,0,0,0,0
land_of_a_million_environmentalists,0,0,0,0,0,0,112,6719,0,0,0,0,0
landem,0,0,0,0,0,0,15,132,0,0,0,0,0
leaf_greens,0,0,0,0,0,0,25,623,0,0,0,0,0
liberal_liberals,0,0,0,0,0,0,405,109341,7,827,0,0,0
llu,0,0,0,0,0,0,196,8745,0,0,0,0,0
lofia,0,0,0,0,0,0,39,900,0,0,0,0,0
lon_kra_con,0,0,0,0,0,0,63,8872,0,0,0,0,0
lord_dominator,0,0,0,0,0,0,135,18753,0,0,0,0,0
lord_windhelm,0,0,0,0,0,0,0,0,1,399,0,0,0
lossaknach,0,0,0,0,0,0,0,0,2,2641,0,0,0
love_and_nature,4,365,0,0,0,0,264,32684,0,0,0,0,80
lovely_bones,0,0,0,0,0,0,0,0,1,867,0,0,0
lugnan,3,3,0,0,1,2,18,948,0,0,0,0,80
luna_amore,0,0,0,0,0,0,377,105009,1,455,0,0,0
lupus_canis,0,0,0,0,0,0,29,2450,0,0,0,0,0
lura,348,36446,0,0,0,0,170,14585,0,0,0,0,6960
luvas,0,0,0,0,0,0,35,2782,0,0,0,0,0
luxurious_resort,0,0,0,0,0,0,13,13,0,0,0,0,0
mad_citizens,92,5911,0,0,0,0,190,17870,0,0,1,24,1840
mahrenbach,0,0,0,0,0,0,81,2255,0,0,0,0,0
mansfield_park,0,0,0,0,0,0,43,6441,0,0,0,0,0
marimoland,0,0,0,0,0,0,70,6371,0,0,0,0,0
marius_republic,0,0,0,0,0,0,0,0,3,3,0,0,0
marsche,0,0,0,0,0,0,26,450,0,0,0,0,0
mattisskogen,0,0,0,0,0,0,73,1033,0,0,0,0,0
mcclandia_doge_2,0,0,0,0,0,0,106,1934,0,0,0,0,0
middle_barael,0,0,0,0,0,0,108,3124,0,0,0,0,0
middlemidden,0,0,0,0,0,0,43,6507,0,0,0,0,0
ming_minh,78,14528,0,0,0,0,130,15456,0,0,0,0,1560
mini_thembria,0,0,0,0,0,0,59,6896,0,0,0,0,0
miroaq,0,0,0,0,0,0,42,2385,0,0,0,0,0
miskunn_systursins,512,153525,0,0,0,0,210,44477,0,0,0,0,10240
misyria,31,31,0,0,0,0,1,1,0,0,0,0,620
molenston,0,0,0,0,1,8,62,7144,0,0,0,0,20
mommy_issues,0,0,0,0,0,0,0,0,1,414,0,0,0
monitor,0,0,2,361,0,0,0,0,0,0,0,0,40
mount_seymour,0,0,0,0,0,0,77,20449,0,0,0,0,0
mountaye,2,119,0,0,0,0,25,1738,0,0,0,0,40
mozolephies,0,0,0,0,0,0,31,1380,0,0,0,0,0
mozworld,0,0,0,0,0,0,260,88676,1,1,0,0,0
murmuria,0,0,0,0,0,0,189,24980,1,15,0,0,0
muskegon_lumberjacks,0,0,0,0,0,0,19,865,0,0,0,0,0
my_daddy_issues,0,0,0,0,0,0,0,0,1,543,0,0,0
naclia,290,700,0,0,0,0,48,1606,0,0,0,0,5800
naive_tales,222,13008,1,122,0,0,129,5200,0,0,0,0,4460
nation_of_ecologists,0,0,0,0,0,0,106,2797,0,0,0,0,0
nazi_flower_power,0,0,0,0,0,0,124,16574,0,0,0,0,0
neazland,0,0,0,0,0,0,25,1710,0,0,0,0,0
neiwecemkeie,0,0,0,0,0,0,37,5358,0,0,0,0,0
neo-kolaxa,0,0,0,0,0,0,107,25274,0,0,0,0,0
new_internationalists,0,0,0,0,0,0,162,43144,0,0,0,0,0
new_ladavia,36,3103,0,0,0,0,148,23789,0,0,0,0,720
nimros,0,0,0,0,0,0,93,13047,0,0,0,0,0
nixers,0,0,0,0,0,0,21,628,0,0,0,0,0
no_planet_b,0,0,0,0,0,0,18,293,0,0,0,0,0
nojax,169,10381,0,0,0,0,69,1880,0,0,1,56,3380
nordustra,112,4774,0,0,0,0,77,3198,0,0,0,0,2240
north_hatchston,0,0,0,0,0,0,25,640,0,0,0,0,0
north_rukonia,0,0,0,0,0,0,18,2164,0,0,0,0,0
northern_wood,10,144,0,0,0,0,71,12602,0,0,0,0,200
novian_republics,0,0,0,0,0,0,44,6073,0,0,0,0,0
novian_self-defence_forces,0,0,0,0,0,0,31,3293,0,0,0,0,0
nukiel2,0,0,3,3,0,0,0,0,0,0,0,0,60
nukiel4,0,0,15,15,0,0,0,0,0,0,0,0,300
nukiel5,0,0,1,1,0,0,0,0,0,0,0,0,20
nukiel_1,0,0,0,0,0,0,5,5,0,0,0,0,0
nukiel_6,0,0,9,9,0,0,6,6,0,0,0,0,180
nylotia,62,248,0,0,0,0,129,410,0,0,0,0,1240
obvile_kiatopia,9,366,0,0,0,0,34,1920,0,0,0,0,180
ochelaga,0,0,0,0,0,0,0,0,2,1185,0,0,0
oh_kyle,0,0,0,0,0,0,0,0,1,697,0,0,0
oh_mommy,0,0,0,0,0,0,0,0,2,1246,0,0,0
old_hope,432,154085,51,42551,6,439,374,61504,19,9389,2,2,9780
one_nation_under_rob,0,0,1,318,0,0,0,0,0,0,0,0,20
oranje_vrystaat,0,0,0,0,0,0,18,202,0,0,0,0,0
ordand,0,0,0,0,0,0,25,3850,0,0,0,0,0
otuken_yurt,0,0,0,0,0,0,16,211,0,0,0,0,0
